Function,Dimensions,old_runs,old_found,old_reliability,old_mean_generation_found,old_median_generation_found,new2_runs,new2_found,new2_reliability,new2_mean_generation_found,new2_median_generation_found,delta_reliability_new2_minus_old,delta_mean_generation_new2_minus_old,delta_median_generation_new2_minus_old
Ackley,30,100,27,0.27,242.1851851851852,243.0,100,90,0.9,229.37777777777777,230.5,0.63,-12.807407407407425,-12.5
ExpandedScaffers_F6,2,100,81,0.81,49.111111111111114,48.0,100,80,0.8,40.6375,38.0,-0.010000000000000009,-8.473611111111111,-10.0
Griewank,30,100,69,0.69,364.2173913043478,363.0,100,63,0.63,331.8888888888889,327.0,-0.05999999999999994,-32.3285024154589,-36.0
HighConditionedElliptic,30,100,16,0.16,347.375,348.5,100,93,0.93,334.55913978494624,336.0,0.77,-12.81586021505376,-12.5
HybridCompositionFunction1,10,100,79,0.79,291.65822784810126,274.0,100,57,0.57,251.31578947368422,190.0,-0.22000000000000008,-40.34243837441704,-84.0
HybridCompositionFunction3,2,100,98,0.98,71.91836734693878,65.5,100,86,0.86,59.174418604651166,55.0,-0.12,-12.743948742287614,-10.5
HybridCompositionFunction3H,2,100,26,0.26,261.0,307.0,100,21,0.21,147.66666666666666,152.0,-0.05000000000000002,-113.33333333333334,-155.0
HybridCompositionFunction4,2,100,3,0.03,274.3333333333333,208.0,100,0,0.0,,,-0.03,,
HybridCompositionFunction4withoutbounds,2,100,0,0.0,,,100,2,0.02,3.0,3.0,0.02,,
NonContinuousHybridCompositionFunction3,2,100,90,0.9,97.97777777777777,90.5,100,75,0.75,91.41333333333333,59.0,-0.15000000000000002,-6.564444444444447,-31.5
Rastrigin,30,100,48,0.48,669.7708333333334,692.5,100,47,0.47,662.6382978723404,683.0,-0.010000000000000009,-7.132535460992926,-9.5
Rosenbrock,2,100,82,0.82,44.5609756097561,42.5,100,71,0.71,38.098591549295776,37.0,-0.10999999999999999,-6.462384060460323,-5.5
RotatedHybridCompositionFunction,2,100,54,0.54,124.85185185185185,121.0,100,51,0.51,91.6470588235294,70.0,-0.030000000000000027,-33.20479302832244,-51.0
RotatedVersionHybridCompositionFunction1,2,100,97,0.97,43.83505154639175,37.0,100,95,0.95,31.305263157894736,28.0,-0.020000000000000018,-12.529788388497018,-9.0
RotatedVersionHybridCompositionFunction1Noise,2,100,91,0.91,49.46153846153846,38.0,100,91,0.91,32.065934065934066,26.0,0.0,-17.395604395604394,-12.0
ShiftedExpandedGriewankRosenbrock,2,100,73,0.73,47.863013698630134,46.0,100,81,0.81,41.93827160493827,38.0,0.08000000000000007,-5.9247420936918616,-8.0
ShiftedRastrigin,10,100,96,0.96,170.11458333333334,166.5,100,78,0.78,155.94871794871796,145.5,-0.17999999999999994,-14.165865384615387,-21.0
ShiftedRosenbrock,2,100,86,0.86,131.27906976744185,128.0,100,67,0.67,95.83582089552239,93.0,-0.18999999999999995,-35.443248871919465,-35.0
ShiftedRotatedGriewank,2,100,100,1.0,102.93,83.0,100,88,0.88,80.5,72.0,-0.12,-22.430000000000007,-11.0
ShiftedRotatedRastrigin,10,100,0,0.0,,,100,0,0.0,,,0.0,,
ShiftedSchwefe1_2,10,100,31,0.31,617.0645161290323,653.0,100,91,0.91,593.1538461538462,612.0,0.6000000000000001,-23.910669975186124,-41.0
ShiftedSchwefe1_2WithNoise,10,100,25,0.25,632.48,657.0,100,34,0.34,594.7352941176471,593.0,0.09000000000000002,-37.744705882352946,-64.0
ShiftedSphere,10,100,31,0.31,119.38709677419355,121.0,100,71,0.71,112.63380281690141,113.0,0.39999999999999997,-6.7532939572921435,-8.0
Sphere,30,100,56,0.56,201.44642857142858,203.0,100,91,0.91,190.21978021978023,189.0,0.35,-11.22664835164835,-14.0
Weierstrass,5,100,0,0.0,,,100,0,0.0,,,0.0,,
